128;1196
256;2908
512;7192
64;788
128;1640
128;2168
64;740
128;1188
128;1668
64;536
128;1784
64;680
64;1064
128;1268
128;1460
64;572
128;1424
128;2100
64;392
128;1452
64;728
128;1832
32;292
128;2080
128;1044
64;644
128;2092
128;1200
128;1552
128;1612
64;720
32;276
128;1408
128;1440
128;1200
128;1060
64;876
128;1396
256;2584
64;1232
256;3384
64;1044
64;924
64;892
128;1504
128;1564
64;792
256;2748
128;1088
256;3016
64;592
128;1616
64;780
64;860
64;964
128;1264
128;1220
128;2372
128;2100
128;1560
256;2460
128;0
