1024;16160
1024;15412
2048;31928
1024;14344
1024;15980
2048;34392
512;7128
1024;10160
2048;27464
1024;16312
2048;26024
512;7140
1024;16156
1024;15700
2048;30056
1024;15780
1024;12328
1024;14108
2048;25544
256;2932
512;5932
1024;14356
1024;14320
1024;16232
2048;27188
1024;16028
2048;36100
2048;23032
2048;25476
1024;16208
2048;26700
512;6976
2048;27240
2048;36132
512;7064
2048;26248
512;7420
1024;16212
1024;16204
1024;15824
2048;27248
1024;14276
1024;15296
512;6740
2048;32352
2048;32352
1024;16048
1024;13724
2048;32268
2048;25716
