256;3364
128;1680
256;2924
256;2920
256;3152
128;1492
128;1932
128;1616
256;3796
256;4148
512;6776
512;5840
128;1928
256;3824
256;4184
256;4404
256;4212
128;1920
256;2588
128;1920
256;3884
128;1912
256;3280
256;3812
256;3992
256;4100
256;3336
256;3548
512;5824
256;2612
256;3356
256;3932
256;2912
256;3952
256;3928
512;5176
512;6688
256;4240
256;3488
128;1932
128;1884
256;3372
128;1876
512;5592
256;2764
256;4216
256;4468
256;3532
256;3840
256;2916
512;6060
256;3356
256;3532
128;1864
512;6232
128;1892
512;5556
128;1756
256;2532
256;3788
256;3888
128;1796
256;3220
256;4320
512;6956
256;3952
256;3660
256;2628
256;3968
256;3148
256;3392
256;4184
256;4328
256;4208
256;3516
256;3200
256;3968
512;5468
512;5704
512;7136
256;3688
256;2916
256;2496
256;3424
256;2948
256;4488
256;4396
128;1872
256;4520
256;4028
256;3236
256;4132
256;4340
256;3044
128;1408
256;4440
512;5176
256;4432
256;4416
128;1908
256;2812
512;5664
128;1916
256;3952
256;3976
256;3500
256;3236
256;4168
128;1920
512;6032
256;3292
256;2540
128;1432
512;5184
256;2640
128;1168
128;1388
128;1348
128;2228
128;1068
128;1728
128;1724
128;1396
512;5332
128;1292
256;2272
128;1268
256;3088
256;3072
256;3216
256;4300
256;3200
256;3172
256;2572
128;1888
128;1760
256;2932
512;6496
256;4560
128;1612
256;4488
512;6412
512;5728
256;3676
256;3792
256;2624
512;6684
128;1976
256;2924
256;4124
